"","Date","Site","String.Zone","Max","Min","Range","X.ofSpat","Avg.Size","X.Animals","mean_three_rows"
"1","6/16/2023","925Lgn","1T",NA,NA,NA,0,NA,NA,NA
"2","6/16/2023","925Lgn","1M",NA,NA,NA,0,NA,NA,NA
"3","6/16/2023","925Lgn","1B",NA,NA,NA,0,NA,NA,NA
"4","6/16/2023","925Lgn","2T",NA,NA,NA,0,NA,2,NA
"5","6/16/2023","925Lgn","2M",NA,NA,NA,0,NA,NA,NA
"6","6/16/2023","925Lgn","2B",NA,NA,NA,0,NA,NA,NA
"7","6/16/2023","925Lgn","3T",NA,NA,NA,0,NA,2,NA
"8","6/16/2023","925Lgn","3M",NA,NA,NA,0,NA,NA,NA
"9","6/16/2023","925Lgn","3B",NA,NA,NA,0,NA,NA,NA
"10","6/16/2023","990Bch","1T",NA,NA,NA,0,NA,NA,NA
"11","6/16/2023","990Bch","1M",NA,NA,NA,0,NA,NA,NA
"12","6/16/2023","990Bch","1B",NA,NA,NA,0,NA,NA,NA
"13","6/16/2023","990Bch","2T",NA,NA,NA,0,NA,1,NA
"14","6/16/2023","990Bch","2M",NA,NA,NA,0,NA,NA,NA
"15","6/16/2023","990Bch","2B",NA,NA,NA,0,NA,NA,NA
"16","6/16/2023","990Bch","3T",NA,NA,NA,0,NA,1,NA
"17","6/16/2023","990Bch","3M",NA,NA,NA,0,NA,NA,NA
"18","6/16/2023","990Bch","3B",NA,NA,NA,0,NA,NA,NA
"19","6/16/2023","918Lmt","1T",NA,NA,NA,0,NA,1,NA
"20","6/16/2023","918Lmt","1M",NA,NA,NA,0,NA,NA,NA
"21","6/16/2023","918Lmt","1B",3.15,2.59,0.56,2,2.87,NA,NA
"22","6/16/2023","918Lmt","2T",NA,NA,0,0,NA,NA,NA
"23","6/16/2023","918Lmt","2M",5.59,5.59,0,1,5.59,NA,NA
"24","6/16/2023","918Lmt","2B",4.51,4.51,0,1,4.51,NA,NA
"25","6/16/2023","918Lmt","3T",NA,NA,0,0,NA,NA,NA
"26","6/16/2023","918Lmt","3M",NA,NA,0,0,NA,NA,NA
"27","6/16/2023","918Lmt","3B",4.99,3.03,1.96,3,4.203333333,NA,NA
"28","6/16/2023","425LTH","1T",NA,NA,NA,0,NA,NA,NA
"29","6/16/2023","425LTH","1M",NA,NA,NA,0,NA,NA,NA
"30","6/16/2023","425LTH","1B",NA,NA,NA,0,NA,NA,NA
"31","6/16/2023","425LTH","2T",NA,NA,NA,0,NA,NA,NA
"32","6/16/2023","425LTH","2M",NA,NA,NA,0,NA,NA,NA
"33","6/16/2023","425LTH","2B",NA,NA,NA,0,NA,NA,NA
"34","6/16/2023","425LTH","3T",NA,NA,NA,0,NA,NA,NA
"35","6/16/2023","425LTH","3M",NA,NA,NA,0,NA,NA,NA
"36","6/16/2023","425LTH","3B",NA,NA,NA,0,NA,NA,NA
"37","6/16/2023","440GLY","1T",NA,NA,NA,0,NA,NA,NA
"38","6/16/2023","440GLY","1M",NA,NA,NA,0,NA,NA,NA
"39","6/16/2023","440GLY","1B",NA,NA,NA,0,NA,NA,NA
"40","6/16/2023","440GLY","2T",NA,NA,NA,0,NA,NA,NA
"41","6/16/2023","440GLY","2M",NA,NA,NA,0,NA,NA,NA
"42","6/16/2023","440GLY","2B",NA,NA,NA,0,NA,NA,NA
"43","6/16/2023","440GLY","3T",NA,NA,NA,0,NA,NA,NA
"44","6/16/2023","440GLY","3M",NA,NA,NA,0,NA,NA,NA
"45","6/16/2023","440GLY","3B",NA,NA,NA,0,NA,NA,NA
"46","6/17/2023","461LTH","1T",NA,NA,NA,0,NA,NA,NA
"47","6/17/2023","461LTH","1M",NA,NA,NA,0,NA,NA,NA
"48","6/17/2023","461LTH","1B",NA,NA,NA,1,2.4,NA,NA
"49","6/17/2023","461LTH","2T",NA,NA,NA,0,NA,NA,NA
"50","6/17/2023","461LTH","2M",NA,NA,NA,1,3.38,NA,NA
"51","6/17/2023","461LTH","2B",NA,NA,NA,0,NA,NA,NA
"52","6/17/2023","461LTH","3T",NA,NA,NA,0,NA,NA,NA
"53","6/17/2023","461LTH","3M",NA,NA,NA,0,NA,NA,NA
"54","6/17/2023","461LTH","3B",NA,NA,NA,0,NA,NA,NA
"55","6/17/2023","940LGN","1T",NA,NA,NA,0,NA,3,NA
"56","6/17/2023","940LGN","1M",NA,NA,NA,0,NA,NA,NA
"57","6/17/2023","940LGN","1B",NA,NA,NA,0,NA,NA,NA
"58","6/17/2023","940LGN","2T",NA,NA,NA,0,NA,2,NA
"59","6/17/2023","940LGN","2M",NA,NA,NA,0,NA,NA,NA
"60","6/17/2023","940LGN","2B",NA,NA,NA,0,NA,NA,NA
"61","6/17/2023","940LGN","3T",NA,NA,NA,0,NA,1,NA
"62","6/17/2023","940LGN","3M",NA,NA,NA,1,3.32,NA,NA
"63","6/17/2023","940LGN","3B",NA,NA,NA,0,NA,NA,NA
"64","6/17/2023","790BCH","1T",NA,NA,NA,0,NA,NA,NA
"65","6/17/2023","790BCH","1M",NA,NA,NA,0,NA,NA,NA
"66","6/17/2023","790BCH","1B",NA,NA,NA,0,NA,NA,NA
"67","6/17/2023","790BCH","2T",NA,NA,NA,0,NA,NA,NA
"68","6/17/2023","790BCH","2M",NA,NA,NA,0,NA,NA,NA
"69","6/17/2023","790BCH","2B",NA,NA,NA,0,NA,NA,NA
"70","6/17/2023","790BCH","3T",NA,NA,NA,0,NA,NA,NA
"71","6/17/2023","790BCH","3M",NA,NA,NA,0,NA,NA,NA
"72","6/17/2023","790BCH","3B",NA,NA,NA,0,NA,NA,NA
"73","6/17/2023","836SDR","1T",NA,NA,NA,0,NA,NA,NA
"74","6/17/2023","836SDR","1M",NA,NA,NA,0,NA,NA,NA
"75","6/17/2023","836SDR","1B",NA,NA,NA,0,NA,NA,NA
"76","6/17/2023","836SDR","2T",NA,NA,NA,0,NA,NA,NA
"77","6/17/2023","836SDR","2M",NA,NA,NA,0,NA,NA,NA
