Date,Site,X.ofSpat,Avg.Size,Average_Size,#_of_Spat,Chlorophyll.ug.m,ODO.,Sal.psu,Temp.C
6/16/22,425LTH,0,NA,NA,0,5.59,45.4,25.52,30.881
6/16/22,425LTH,0,NA,NA,0,5.59,45.4,25.52,30.881
6/16/22,425LTH,0,NA,NA,0,5.59,45.4,25.52,30.881
6/16/22,440GLY,0,NA,NA,0,7.58,7.8,25.61,30.363
6/16/22,440GLY,0,NA,NA,0,7.58,7.8,25.61,30.363
6/16/22,440GLY,0,NA,NA,0,7.58,7.8,25.61,30.363
6/16/22,918Lmt,2,2.87,NA,2,4.03,85.1,26.32,31.04
6/16/22,918Lmt,1,4.51,NA,2,4.03,85.1,26.32,31.04
6/16/22,918Lmt,3,4.203333333,NA,3,4.03,85.1,26.32,31.04
6/16/22,925Lgn,0,NA,NA,0,28.91,87.4,25.35,31.98
6/16/22,925Lgn,0,NA,NA,0,28.91,87.4,25.35,31.98
6/16/22,925Lgn,0,NA,NA,0,28.91,87.4,25.35,31.98
6/16/22,990Bch,0,NA,NA,0,27.57,99.6,24.58,31.788
6/16/22,990Bch,0,NA,NA,0,27.57,99.6,24.58,31.788
6/16/22,990Bch,0,NA,NA,0,27.57,99.6,24.58,31.788
6/17/22,1063SYM,1,2.443,NA,4,4.31,77.5,26.42,30.852
6/17/22,1063SYM,0,NA,NA,0,4.31,77.5,26.42,30.852
6/17/22,1063SYM,1,4.17,NA,1,4.31,77.5,26.42,30.852
6/17/22,461LTH,1,2.4,NA,1,5.5,51.1,26.78,31.57
6/17/22,461LTH,0,NA,NA,1,5.5,51.1,26.78,31.57
6/17/22,461LTH,0,NA,NA,0,5.5,51.1,26.78,31.57
6/17/22,790BCH,0,NA,NA,0,24.82,89.3,25.57,32.132
6/17/22,790BCH,0,NA,NA,0,24.82,89.3,25.57,32.132
6/17/22,790BCH,0,NA,NA,0,24.82,89.3,25.57,32.132
6/17/22,836SDR,0,NA,NA,0,13.91,79.2,25.94,31.608
6/17/22,836SDR,0,NA,NA,0,13.91,79.2,25.94,31.608
6/17/22,836SDR,0,NA,NA,0,13.91,79.2,25.94,31.608
6/17/22,940LGN,0,NA,NA,0,12.85,97.5,25.78,31.023
6/17/22,940LGN,0,NA,NA,0,12.85,97.5,25.78,31.023
6/17/22,940LGN,0,NA,NA,1,12.85,97.5,25.78,31.023
6/30/22,425 LTH,13,4.727692308,NA,14,4.9,65.8,26.75,30.33
6/30/22,425 LTH,11,4.155454545,NA,14,4.9,65.8,26.75,30.33
6/30/22,425 LTH,9,4.283333333,NA,12,4.9,65.8,26.75,30.33
6/30/22,440GLY,0,NA,NA,2,7.79,23,27.13,30.795
6/30/22,440GLY,0,NA,NA,0,7.79,23,27.13,30.795
6/30/22,440GLY,0,NA,NA,0,7.79,23,27.13,30.795
6/30/22,918 LMT,39,5.088461538,4.035575931,94,2.52,80.3,26.81,30.415
6/30/22,918 LMT,38,3.856315789,3.674855263,82,2.52,80.3,26.81,30.415
6/30/22,918 LMT,33,3.099090909,3.13400437,81,2.52,80.3,26.81,30.415
6/30/22,925 LGN,3,3.856666667,2.712222222,5,8.08,75.9,25.33,31.862
