"","Date","Site","Chlorophyll.ug.m","ODO.","Sal.psu","Temp.C"
"1","6/16/2022","425Lth",5.59,45.4,25.52,30.881
"2","6/16/2022","425Lth",5.59,45.4,25.52,30.881
"3","6/16/2022","425Lth",5.59,45.4,25.52,30.881
"4","6/16/2022","440Gly",7.58,7.8,25.61,30.363
"5","6/16/2022","440Gly",7.58,7.8,25.61,30.363
"6","6/16/2022","440Gly",7.58,7.8,25.61,30.363
"7","6/16/2022","918Lmt",4.03,85.1,26.32,31.04
"8","6/16/2022","918Lmt",4.03,85.1,26.32,31.04
"9","6/16/2022","918Lmt",4.03,85.1,26.32,31.04
"10","6/16/2022","925Lgn",28.91,87.4,25.35,31.98
"11","6/16/2022","925Lgn",28.91,87.4,25.35,31.98
"12","6/16/2022","925Lgn",28.91,87.4,25.35,31.98
"13","6/16/2022","990Bch",27.57,99.6,24.58,31.788
"14","6/16/2022","990Bch",27.57,99.6,24.58,31.788
"15","6/16/2022","990Bch",27.57,99.6,24.58,31.788
"16","6/17/2022","1063Sym",4.31,77.5,26.42,30.852
"17","6/17/2022","1063Sym",4.31,77.5,26.42,30.852
"18","6/17/2022","1063Sym",4.31,77.5,26.42,30.852
"19","6/17/2022","461Lth",5.5,51.1,26.78,31.57
"20","6/17/2022","461Lth",5.5,51.1,26.78,31.57
"21","6/17/2022","461Lth",5.5,51.1,26.78,31.57
"22","6/17/2022","790Bch",24.82,89.3,25.57,32.132
"23","6/17/2022","790Bch",24.82,89.3,25.57,32.132
"24","6/17/2022","790Bch",24.82,89.3,25.57,32.132
"25","6/17/2022","836Sdr",13.91,79.2,25.94,31.608
"26","6/17/2022","836Sdr",13.91,79.2,25.94,31.608
"27","6/17/2022","836Sdr",13.91,79.2,25.94,31.608
"28","6/17/2022","940Lgn",12.85,97.5,25.78,31.023
"29","6/17/2022","940Lgn",12.85,97.5,25.78,31.023
"30","6/17/2022","940Lgn",12.85,97.5,25.78,31.023
"31","6/30/2022","425Lth",4.9,65.8,26.75,30.33
"32","6/30/2022","425Lth",4.9,65.8,26.75,30.33
"33","6/30/2022","425Lth",4.9,65.8,26.75,30.33
"34","6/30/2022","440Gly",7.79,23,27.13,30.795
"35","6/30/2022","440Gly",7.79,23,27.13,30.795
"36","6/30/2022","440Gly",7.79,23,27.13,30.795
"37","6/30/2022","918Lmt",2.52,80.3,26.81,30.415
"38","6/30/2022","918Lmt",2.52,80.3,26.81,30.415
"39","6/30/2022","918Lmt",2.52,80.3,26.81,30.415
"40","6/30/2022","925Lgn",8.08,75.9,25.33,31.862
"41","6/30/2022","925Lgn",8.08,75.9,25.33,31.862
"42","6/30/2022","925Lgn",8.08,75.9,25.33,31.862
"43","6/30/2022","990Bch",11.38,74.7,25.69,31.907
"44","6/30/2022","990Bch",11.38,74.7,25.69,31.907
"45","6/30/2022","990Bch",11.38,74.7,25.69,31.907
"46","7/1/2022","1063Sym",1.51,69.4,27.23,30.564
"47","7/1/2022","1063Sym",1.51,69.4,27.23,30.564
"48","7/1/2022","1063Sym",1.51,69.4,27.23,30.564
"49","7/1/2022","461Lth",2.29,56.3,27.54,31.125
"50","7/1/2022","461Lth",2.29,56.3,27.54,31.125
"51","7/1/2022","461Lth",2.29,56.3,27.54,31.125
"52","7/1/2022","790Bch",6.32,74,26.19,32.172
"53","7/1/2022","790Bch",6.32,74,26.19,32.172
"54","7/1/2022","790Bch",6.32,74,26.19,32.172
"55","7/1/2022","836Sdr",3.75,55,26.72,31.361
"56","7/1/2022","836Sdr",3.75,55,26.72,31.361
"57","7/1/2022","836Sdr",3.75,55,26.72,31.361
"58","7/1/2022","940Lgn",4.09,74.3,26.26,30.12
"59","7/1/2022","940Lgn",4.09,74.3,26.26,30.12
"60","7/1/2022","940Lgn",4.09,74.3,26.26,30.12
"61","7/14/2022","425Lth",5.36,47.7,29.76,31.168
"62","7/14/2022","425Lth",5.36,47.7,29.76,31.168
