Date	Site	String/Zone	Max	Min	Range	#ofSpat	Avg Size	#Animals
6/16/2023	925Lgn	1T				0		
6/16/2023	925Lgn	1M				0		
6/16/2023	925Lgn	1B				0		
6/16/2023	925Lgn	2T				0		2
6/16/2023	925Lgn	2M				0		
6/16/2023	925Lgn	2B				0		
6/16/2023	925Lgn	3T				0		2
6/16/2023	925Lgn	3M				0		
6/16/2023	925Lgn	3B				0		
6/16/2023	990Bch	1T				0		
6/16/2023	990Bch	1M				0		
6/16/2023	990Bch	1B				0		
6/16/2023	990Bch	2T				0		1
6/16/2023	990Bch	2M				0		
6/16/2023	990Bch	2B				0		
6/16/2023	990Bch	3T				0		1
6/16/2023	990Bch	3M				0		
6/16/2023	990Bch	3B				0		
6/16/2023	918Lmt	1T				0		1
6/16/2023	918Lmt	1M				0		
6/16/2023	918Lmt	1B	3.15	2.59	0.56	2	2.87	
6/16/2023	918Lmt	2T			0	0		
6/16/2023	918Lmt	2M	5.59	5.59	0	1	5.59	
6/16/2023	918Lmt	2B	4.51	4.51	0	1	4.51	
6/16/2023	918Lmt	3T			0	0		
6/16/2023	918Lmt	3M			0	0		
6/16/2023	918Lmt	3B	4.99	3.03	1.96	3	4.203333333	
6/16/2023	425LTH	1T				0		
6/16/2023	425LTH	1M				0		
6/16/2023	425LTH	1B				0		
6/16/2023	425LTH	2T				0		
6/16/2023	425LTH	2M				0		
6/16/2023	425LTH	2B				0		
6/16/2023	425LTH	3T				0		
6/16/2023	425LTH	3M				0		
6/16/2023	425LTH	3B				0		
6/16/2023	440GLY	1T				0		
6/16/2023	440GLY	1M				0		
6/16/2023	440GLY	1B				0		
6/16/2023	440GLY	2T				0		
6/16/2023	440GLY	2M				0		
6/16/2023	440GLY	2B				0		
6/16/2023	440GLY	3T				0		
6/16/2023	440GLY	3M				0		
6/16/2023	440GLY	3B				0		
6/17/2023	461LTH	1T				0		
6/17/2023	461LTH	1M				0		
6/17/2023	461LTH	1B				1	2.4	
6/17/2023	461LTH	2T				0		
6/17/2023	461LTH	2M				1	3.38	
6/17/2023	461LTH	2B				0		
6/17/2023	461LTH	3T				0		
6/17/2023	461LTH	3M				0		
6/17/2023	461LTH	3B				0		
6/17/2023	940LGN	1T				0		3
6/17/2023	940LGN	1M				0		
6/17/2023	940LGN	1B				0		
6/17/2023	940LGN	2T				0		2
6/17/2023	940LGN	2M				0		
6/17/2023	940LGN	2B				0		
6/17/2023	940LGN	3T				0		1
6/17/2023	940LGN	3M				1	3.32	
6/17/2023	940LGN	3B				0		
6/17/2023	790BCH	1T				0		
6/17/2023	790BCH	1M				0		
6/17/2023	790BCH	1B				0		
6/17/2023	790BCH	2T				0		
6/17/2023	790BCH	2M				0		
6/17/2023	790BCH	2B				0		
6/17/2023	790BCH	3T				0		
6/17/2023	790BCH	3M				0		
6/17/2023	790BCH	3B				0		
6/17/2023	836SDR	1T				0		
6/17/2023	836SDR	1M				0		
6/17/2023	836SDR	1B				0		
6/17/2023	836SDR	2T				0		
6/17/2023	836SDR	2M				0		
6/17/2023	836SDR	2B				0		
6/17/2023	836SDR	3T				0		
6/17/2023	836SDR	3M				0		
6/17/2023	836SDR	3B				0		
6/17/2023	1063SYM	1T				0		2
